"시도별",2019,2019,2019,2020,2020,2020,2021 p),2021 p),2021 p)
"시도별",원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률
"전국",18057,433,2.5,17320,-737,-4.1,18435,1115,6.4
"서울특별시",21991,677,3.2,21185,-806,-3.7,22613,1428,6.7
"부산광역시",18134,470,2.7,17365,-769,-4.2,18693,1328,7.6
"대구광역시",17964,755,4.4,17276,-688,-3.8,18378,1102,6.4
"인천광역시",16552,462,2.9,16059,-493,-3.0,17170,1111,6.9
"광주광역시",18326,485,2.7,17602,-724,-4.0,18829,1227,7.0
"대전광역시",18115,569,3.2,17715,-400,-2.2,19146,1431,8.1
"울산광역시",18574,484,2.7,17816,-758,-4.1,19211,1395,7.8
"세종특별자치시",16845,-76,-0.4,16158,-687,-4.1,17198,1040,6.4
"경기도",17493,218,1.3,16721,-772,-4.4,17743,1022,6.1
"강원도",16905,340,2.1,16193,-712,-4.2,17077,884,5.5
"충청북도",15885,302,1.9,15215,-670,-4.2,16097,882,5.8
"충청남도",16123,251,1.6,15426,-697,-4.3,16319,893,5.8
"전라북도",16103,380,2.4,15351,-752,-4.7,16156,805,5.2
"전라남도",16199,598,3.8,15441,-758,-4.7,16251,810,5.2
"경상북도",16311,459,2.9,15473,-838,-5.1,16453,980,6.3
"경상남도",16520,452,2.8,15890,-630,-3.8,16981,1091,6.9
"제주특별자치도",17037,397,2.4,16227,-810,-4.8,17285,1058,6.5
