"시도별",2019,2019,2019,2020,2020,2020,2021 p),2021 p),2021 p)
"시도별",원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률
"전국",37596,582,1.6,37842,246,0.7,40571,2729,7.2
"서울특별시",48693,331,0.7,49006,313,0.6,54209,5203,10.6
"부산광역시",29259,972,3.4,29643,384,1.3,32014,2371,8.0
"대구광역시",27700,696,2.6,27934,234,0.8,29353,1419,5.1
"인천광역시",32873,1510,4.8,32724,-149,-0.5,35818,3094,9.5
"광주광역시",31186,1427,4.8,31674,488,1.6,32999,1325,4.2
"대전광역시",31566,1037,3.4,32080,514,1.6,33810,1730,5.4
"울산광역시",54190,1496,2.8,53908,-282,-0.5,59346,5438,10.1
"세종특별자치시",38186,943,2.5,37869,-317,-0.8,39730,1861,4.9
"경기도",38929,-221,-0.6,38819,-110,-0.3,41011,2192,5.6
"강원도",29397,926,3.3,28891,-506,-1.7,30858,1967,6.8
"충청북도",34889,1217,3.6,35403,514,1.5,37903,2500,7.1
"충청남도",41089,1154,2.9,42073,984,2.4,45544,3471,8.2
"전라북도",28302,1519,5.7,29515,1213,4.3,31157,1642,5.6
"전라남도",35673,514,1.5,38605,2932,8.2,38857,252,0.7
"경상북도",35038,508,1.5,35471,433,1.2,38000,2529,7.1
"경상남도",32035,1048,3.4,31550,-485,-1.5,32968,1418,4.5
"제주특별자치도",30710,-483,-1.5,30030,-680,-2.2,31999,1969,6.6
